TimePeriod,Inst g,Avg g,Lengths
0.87199,12.46073,0.02963,24.0
0.8628,12.72771,0.02926,24.0
0.72207,18.17265,0.04047,24.0
0.70863,18.86837,0.04067,24.0
0.72136,18.2083,0.03809,24.0
0.80622,14.57673,0.02962,24.0
0.73126,17.71857,0.03509,24.0
0.7355,17.51472,0.03375,24.0
37.52122,0.00673,2e-05,24.0
0.71004,18.79327,0.03523,24.0
30.35219,0.01028,5e-05,24.0
0.9505,10.48748,0.01939,24.0
1.12376,7.50278,0.01365,24.0
1.00071,9.46143,0.01686,24.0
1.13508,7.35393,0.01286,24.0
0.98656,9.73467,0.01669,24.0
11.34441,0.07362,0.00015,24.0
4.971,0.38343,0.00066,24.0
0.99151,9.63771,0.0159,24.0
27.8045,0.00919,4e-05,18.0
0.6255,18.16258,0.02918,18.0
0.8795,9.18672,0.01453,18.0
0.875,9.28146,0.01445,18.0
29.31895,0.00827,0.00827,18.0
0.88897,8.99209,0.81089,18.0
1.26238,4.45918,0.24397,18.0
1.26167,4.46418,0.15965,18.0
1.26096,4.46919,0.11662,18.0
21.72348,0.02008,0.02008,24.0
2.83663,1.17751,0.18841,24.0
4.60537,0.44673,0.06495,24.0
1.41796,4.71239,0.20529,24.0
21.01627,0.02145,0.01247,24.0
1.07072,8.26453,0.24359,24.0
1.07214,8.24274,0.18763,24.0
12.21146,0.04765,0.00236,18.0
1.26945,4.40963,0.07478,18.0
1.26874,4.41455,0.06493,18.0
1.26945,4.40963,0.05728,18.0
23.9325,0.01241,0.01241,18.0
0.869,9.41007,1.06077,18.0
0.8695,9.39925,0.52391,18.0
0.8705,9.37766,0.33316,18.0
0.8695,9.39925,0.244,18.0
0.8695,9.39925,0.20008,18.0
0.869,9.41007,0.16809,18.0
0.666,16.02078,0.2431,18.0
32.161,0.00382,0.00345,10.0
1.39,2.04329,0.02433,10.0
1.386,2.0551,0.02163,10.0
6.5735,0.16445,0.00168,18.0
1.0935,5.94285,0.0548,18.0
0.9375,8.08518,0.068,18.0
7.132,0.1397,0.00226,18.0
0.892,8.93105,0.06665,18.0
0.8915,8.94107,0.06292,18.0
9.2345,0.08333,0.00108,18.0
0.6825,15.25552,0.09425,18.0
0.674,15.64273,0.0916,18.0
8.064,0.10928,0.10928,18.0
0.885,9.07289,1.02301,18.0
